run_id,step_idx,injection_id,steps_since_injection,tokens_proposed,tokens_accepted,acceptance_rate,injection_size_tokens,injection_category,wall_time_s
2,0,1,0,1,1,1.0,35,small,0.014521121978759766
2,1,1,1,1,1,1.0,35,small,0.003042459487915039
2,2,1,2,1,1,1.0,35,small,0.015320062637329102
2,3,1,3,1,1,1.0,35,small,0.003301382064819336
2,4,1,4,1,1,1.0,35,small,0.014473438262939453
2,5,1,5,1,1,1.0,35,small,0.008538484573364258
2,6,1,6,1,1,1.0,35,small,0.009122371673583984
2,7,1,7,1,1,1.0,35,small,0.008502483367919922
2,8,1,8,1,1,1.0,35,small,0.009250879287719727
2,9,1,9,1,1,1.0,35,small,0.00860142707824707
2,10,1,10,1,1,1.0,35,small,0.008939981460571289
2,11,1,11,1,1,1.0,35,small,0.008555889129638672
2,12,1,12,1,1,1.0,35,small,0.006270170211791992
2,13,1,13,1,1,1.0,35,small,0.010077238082885742
2,14,1,14,1,1,1.0,35,small,0.010329008102416992
2,15,1,15,1,1,1.0,35,small,0.007571220397949219
2,16,1,16,4,1,0.25,35,small,0.010281085968017578
2,17,1,17,1,1,1.0,35,small,0.009450197219848633
2,18,1,18,1,1,1.0,35,small,0.008512496948242188
2,19,1,19,1,1,1.0,35,small,0.008022785186767578
2,20,1,20,1,1,1.0,35,small,0.0081634521484375
2,21,1,21,4,2,0.5,35,small,0.010259151458740234
2,22,2,0,1,1,1.0,25,small,0.008156776428222656
2,23,2,1,1,1,1.0,25,small,0.0141448974609375
2,24,2,2,4,2,0.5,25,small,0.006059885025024414
2,25,2,3,4,2,0.5,25,small,0.011976957321166992
2,26,2,4,4,2,0.5,25,small,0.008013010025024414
2,27,2,5,4,2,0.5,25,small,0.009156942367553711
2,28,2,6,4,2,0.5,25,small,0.00851750373840332
2,29,2,7,4,2,0.5,25,small,0.009099245071411133
2,30,2,8,4,2,0.5,25,small,0.0074291229248046875
2,31,2,9,4,2,0.5,25,small,0.010113716125488281
2,32,2,10,4,2,0.5,25,small,0.009016275405883789
2,33,2,11,4,2,0.5,25,small,0.008849859237670898
2,34,2,12,4,2,0.5,25,small,0.009019136428833008
2,35,2,13,4,1,0.25,25,small,0.008662939071655273
2,36,2,14,1,1,1.0,25,small,0.009060859680175781
2,37,2,15,1,1,1.0,25,small,0.009159564971923828
2,38,2,16,4,1,0.25,25,small,0.009000062942504883
2,39,2,17,1,1,1.0,25,small,0.008043766021728516
2,40,2,18,1,1,1.0,25,small,0.009330987930297852
2,41,2,19,4,1,0.25,25,small,0.008029699325561523
2,42,2,20,4,2,0.5,25,small,0.006436347961425781
2,43,2,21,4,1,0.25,25,small,0.010142326354980469
2,44,2,22,1,1,1.0,25,small,0.010093927383422852
2,45,2,23,4,1,0.25,25,small,0.008004903793334961
2,46,2,24,1,1,1.0,25,small,0.008978605270385742
2,47,2,25,1,1,1.0,25,small,0.008502483367919922
2,48,2,26,1,1,1.0,25,small,0.004050254821777344
2,49,2,27,1,1,1.0,25,small,0.010309934616088867
2,50,2,28,1,1,1.0,25,small,0.01166224479675293
2,51,2,29,1,1,1.0,25,small,0.008569478988647461
2,52,2,30,1,1,1.0,25,small,0.008893966674804688
2,53,2,31,1,1,1.0,25,small,0.009661197662353516
2,54,2,32,1,1,1.0,25,small,0.0020155906677246094
2,55,2,33,1,1,1.0,25,small,0.005887031555175781
2,56,2,34,1,1,1.0,25,small,0.004525184631347656
2,57,2,35,1,1,1.0,25,small,0.012535333633422852
2,58,2,36,1,1,1.0,25,small,0.00900578498840332
2,59,2,37,4,2,0.5,25,small,0.009308338165283203
