run_id,step_idx,injection_id,steps_since_injection,tokens_proposed,tokens_accepted,acceptance_rate,injection_size_tokens,injection_category,wall_time_s
0,0,1,0,1,1,1.0,35,small,0.020085811614990234
0,1,1,1,1,1,1.0,35,small,0.010036468505859375
0,2,1,2,1,1,1.0,35,small,0.008853912353515625
0,3,1,3,1,1,1.0,35,small,0.00915980339050293
0,4,1,4,1,1,1.0,35,small,0.00860595703125
0,5,1,5,1,1,1.0,35,small,0.008702516555786133
0,6,1,6,1,1,1.0,35,small,0.009721994400024414
0,7,1,7,1,1,1.0,35,small,0.004714012145996094
0,8,1,8,1,1,1.0,35,small,0.01377558708190918
0,9,1,9,1,1,1.0,35,small,0.008594512939453125
0,10,1,10,1,1,1.0,35,small,0.009390830993652344
0,11,1,11,1,1,1.0,35,small,0.00916290283203125
0,12,1,12,1,1,1.0,35,small,0.009008169174194336
0,13,1,13,1,1,1.0,35,small,0.007157325744628906
0,14,1,14,1,1,1.0,35,small,0.011265993118286133
0,15,1,15,1,1,1.0,35,small,0.00796818733215332
0,16,1,16,4,1,0.25,35,small,0.008810281753540039
0,17,1,17,1,1,1.0,35,small,0.00925445556640625
0,18,1,18,1,1,1.0,35,small,0.008130311965942383
0,19,1,19,1,1,1.0,35,small,0.00902867317199707
0,20,1,20,1,1,1.0,35,small,0.0064775943756103516
0,21,1,21,4,2,0.5,35,small,0.007936239242553711
0,22,2,0,1,1,1.0,25,small,0.013794422149658203
0,23,2,1,1,1,1.0,25,small,0.008519172668457031
0,24,2,2,4,2,0.5,25,small,0.008532524108886719
0,25,2,3,4,2,0.5,25,small,0.009705781936645508
0,26,2,4,4,2,0.5,25,small,0.007843732833862305
0,27,2,5,4,2,0.5,25,small,0.009534597396850586
0,28,2,6,4,2,0.5,25,small,0.008417844772338867
0,29,2,7,4,2,0.5,25,small,0.009344339370727539
0,30,2,8,4,2,0.5,25,small,0.008554697036743164
0,31,2,9,4,2,0.5,25,small,0.00870966911315918
0,32,2,10,4,2,0.5,25,small,0.009195804595947266
0,33,2,11,4,2,0.5,25,small,0.005633831024169922
0,34,2,12,4,2,0.5,25,small,0.01222681999206543
0,35,2,13,4,1,0.25,25,small,0.0075893402099609375
0,36,2,14,1,1,1.0,25,small,0.010188579559326172
0,37,2,15,1,1,1.0,25,small,0.0
0,38,2,16,4,1,0.25,25,small,0.01424860954284668
0,39,2,17,1,1,1.0,25,small,0.008029937744140625
0,40,2,18,1,1,1.0,25,small,0.009981632232666016
0,41,2,19,4,1,0.25,25,small,0.008694171905517578
0,42,2,20,4,2,0.5,25,small,0.01211690902709961
0,43,2,21,4,1,0.25,25,small,0.008179664611816406
0,44,2,22,1,1,1.0,25,small,0.008629322052001953
0,45,2,23,4,1,0.25,25,small,0.009506702423095703
0,46,2,24,1,1,1.0,25,small,0.0028543472290039062
0,47,2,25,1,1,1.0,25,small,0.010030269622802734
0,48,2,26,1,1,1.0,25,small,0.013277769088745117
0,49,2,27,1,1,1.0,25,small,0.009160518646240234
0,50,2,28,1,1,1.0,25,small,0.008620023727416992
0,51,2,29,1,1,1.0,25,small,0.008178234100341797
0,52,2,30,1,1,1.0,25,small,0.007398128509521484
0,53,2,31,1,1,1.0,25,small,0.006308078765869141
0,54,2,32,1,1,1.0,25,small,0.0038840770721435547
0,55,2,33,1,1,1.0,25,small,0.013566017150878906
0,56,2,34,1,1,1.0,25,small,0.009011507034301758
0,57,2,35,1,1,1.0,25,small,0.008401632308959961
0,58,2,36,1,1,1.0,25,small,0.009023427963256836
0,59,2,37,4,2,0.5,25,small,0.009367942810058594
0,60,2,38,4,2,0.5,25,small,0.00649714469909668
0,61,2,39,4,1,0.25,25,small,0.010924816131591797
0,62,2,40,1,1,1.0,25,small,0.008147239685058594
0,63,2,41,1,1,1.0,25,small,0.009021997451782227
0,64,2,42,1,1,1.0,25,small,0.00918722152709961
0,65,2,43,1,1,1.0,25,small,0.009088993072509766
0,66,2,44,1,1,1.0,25,small,0.0036160945892333984
0,67,2,45,1,1,1.0,25,small,0.010084152221679688
0,68,2,46,1,1,1.0,25,small,0.012868404388427734
0,69,2,47,1,1,1.0,25,small,0.009006261825561523
0,70,2,48,1,1,1.0,25,small,0.009451150894165039
0,71,2,49,1,1,1.0,25,small,0.008503437042236328
0,72,2,50,1,1,1.0,25,small,0.008198976516723633
0,73,2,51,1,1,1.0,25,small,0.005017757415771484
0,74,2,52,1,1,1.0,25,small,0.01335287094116211
0,75,2,53,1,1,1.0,25,small,0.008548974990844727
0,76,2,54,1,1,1.0,25,small,0.00932765007019043
0,77,2,55,1,1,1.0,25,small,0.008508920669555664
0,78,2,56,1,1,1.0,25,small,0.008927583694458008
0,79,2,57,1,1,1.0,25,small,0.0077402591705322266
0,80,2,58,1,1,1.0,25,small,0.009931325912475586
0,81,2,59,1,1,1.0,25,small,0.008152246475219727
0,82,3,0,4,2,0.5,35,small,0.016913414001464844
0,83,3,1,4,2,0.5,35,small,0.008078813552856445
0,84,3,2,4,2,0.5,35,small,0.008944511413574219
0,85,3,3,4,2,0.5,35,small,0.009685277938842773
0,86,3,4,4,2,0.5,35,small,0.007497072219848633
0,87,3,5,4,2,0.5,35,small,0.008649110794067383
0,88,3,6,4,2,0.5,35,small,0.010317325592041016
0,89,3,7,4,2,0.5,35,small,0.008761405944824219
0,90,3,8,4,2,0.5,35,small,0.009002923965454102
0,91,3,9,4,2,0.5,35,small,0.008744001388549805
0,92,3,10,4,1,0.25,35,small,0.00856471061706543
0,93,3,11,4,2,0.5,35,small,0.009428977966308594
0,94,3,12,4,2,0.5,35,small,0.007402658462524414
0,95,3,13,4,2,0.5,35,small,0.010421037673950195
0,96,3,14,4,2,0.5,35,small,0.008571386337280273
0,97,3,15,4,2,0.5,35,small,0.009547948837280273
0,98,3,16,4,1,0.25,35,small,0.009017705917358398
0,99,3,17,4,2,0.5,35,small,0.007368803024291992
0,100,3,18,4,2,0.5,35,small,0.01042318344116211
0,101,3,19,4,1,0.25,35,small,0.009195804595947266
0,102,3,20,4,2,0.5,35,small,0.008685827255249023
0,103,3,21,4,2,0.5,35,small,0.008505105972290039
0,104,4,0,1,1,1.0,20,small,0.017874717712402344
0,105,4,1,1,1,1.0,20,small,0.007505893707275391
0,106,4,2,4,1,0.25,20,small,0.008866548538208008
0,107,4,3,1,1,1.0,20,small,0.009003639221191406
0,108,4,4,1,1,1.0,20,small,0.003904104232788086
0,109,4,5,1,1,1.0,20,small,0.008007526397705078
0,110,4,6,1,1,1.0,20,small,0.009002923965454102
0,111,4,7,1,1,1.0,20,small,0.007500886917114258
0,112,4,8,1,1,1.0,20,small,0.009037494659423828
0,113,4,9,1,1,1.0,20,small,0.009031534194946289
0,114,4,10,4,2,0.5,20,small,0.00450897216796875
0,115,5,0,1,1,1.0,30,small,0.01302790641784668
0,116,5,1,1,1,1.0,30,small,0.008466958999633789
0,117,5,2,4,1,0.25,30,small,0.009139537811279297
0,118,5,3,4,2,0.5,30,small,0.0092315673828125
0,119,5,4,4,2,0.5,30,small,0.009244680404663086
0,120,5,5,4,2,0.5,30,small,0.00852823257446289
0,121,5,6,4,2,0.5,30,small,0.009173393249511719
0,122,5,7,4,2,0.5,30,small,0.00862741470336914
0,123,5,8,4,2,0.5,30,small,0.007900476455688477
0,124,5,9,4,2,0.5,30,small,0.007000446319580078
0,125,5,10,4,2,0.5,30,small,0.012219429016113281
0,126,6,0,1,1,1.0,14,small,0.008148670196533203
0,127,6,1,4,2,0.5,14,small,0.008531808853149414
0,128,6,2,4,1,0.25,14,small,0.008509397506713867
0,129,6,3,4,2,0.5,14,small,0.009004592895507812
0,130,6,4,4,2,0.5,14,small,0.008504629135131836
0,131,6,5,4,2,0.5,14,small,0.005539417266845703
0,132,6,6,4,2,0.5,14,small,0.012397289276123047
0,133,6,7,4,2,0.5,14,small,0.008902311325073242
0,134,6,8,4,2,0.5,14,small,0.00876617431640625
0,135,6,9,4,2,0.5,14,small,0.009653806686401367
0,136,6,10,4,2,0.5,14,small,0.008746862411499023
